,0
267,1331159.1339744218
268,1359411.7093285073
269,1355125.955800868
270,1334768.219762762
271,1350887.3421464423
272,1367219.6489693406
273,1352409.8849528008
274,1315386.2378532777
275,1313747.066524956
276,1298987.6600710426
277,1325280.782579153
278,1318971.1789048403
279,1338249.2583380113
280,1323852.8950723717
281,1344830.962878536
282,1354698.1989035727
283,1369911.4212493056
284,1371370.2968095897
285,1376527.2483601482
286,1357854.4097434403
287,1373982.8175215586
288,1368306.6002343723
289,1373779.8827502537
290,1387651.2876827265
291,1392364.2187921258
292,1391990.1588214294
293,1392488.2345744246
294,1423908.1607613442
295,1416046.7860875458
296,1419797.5778869416
297,1430211.5997310444
298,1435851.9732468685
299,1428580.5498564646
300,1420300.2222364438
301,1423146.5467029915
302,1428534.3430404353
303,1444627.0061019333
304,1448366.0020495271
305,1447394.5115041817
306,1456114.6840854192
307,1450873.6012767106
308,1451878.3260651154
309,1455693.2994607394
310,1472353.736073706
311,1471038.5613818825
312,1463440.24606363
313,1472509.9388349827
314,1473396.938905003
315,1476285.6046251033
316,1469289.5577440269
317,1468189.9129578127
318,1477799.0090403322
319,1478188.5361617436
320,1472470.312184116
321,1475761.8014041232
322,1483563.5419849593
323,1468028.8513062692
324,1476391.2490796067
325,1479360.9300678286
326,1505361.695393314
327,1517933.502967315
328,1529294.6288548552
329,1514929.276982564
330,1479501.9066627296
331,1485576.8213656256
332,1516310.3350647772
333,1488902.1794113484
334,1515489.184988344
335,1480665.5492770374
336,1467359.6036337912
337,1415315.9980534317
338,1392345.7726258407
339,1460446.9601245632
340,1463114.4828183495
341,1480363.4518766513
342,1461809.4912720118
343,1438472.2956635342
344,1436739.7483330765
345,1417403.3102665602
346,1402427.8555399259
347,1345438.8169338435
348,1362262.3877570608
349,1353239.5429645164
350,1344095.2027398061
351,1336698.7675365459
352,1380144.5431224236
353,1374445.5073585226
354,1360297.5042957074
355,1387867.9054670762
356,1388654.3189900653
357,1343801.7319917758
358,1328868.8262165468
359,1333368.1362798717
360,1323152.1335427945
361,1367686.840485014
362,1380301.6485651296
363,1381617.3599213143
364,1410346.384152841
365,1418257.1878398468
366,1426740.8691036992
367,1432660.5582114619
368,1427870.4580088533
369,1412963.3775885748
370,1400281.264686171
371,1382114.6410944082
372,1377619.929237954
373,1373419.8995958543
374,1330469.6283828365
375,1317548.4203767914
376,1307740.8193812668
377,1299200.5782592616
378,1305134.674935777
379,1342606.328116484
380,1354207.4819712155
381,1365451.9788721835
382,1359633.8561299779
383,1365693.314231379
384,1367638.6519801093
385,1366835.2430081265
386,1341260.09018157
387,1342189.1876625745
388,1361810.1254391596
389,1354933.4229760584
390,1385457.5236131926
391,1395666.4344941617
392,1408999.7298845237
393,1420528.0249337794
394,1417632.880735898
395,1415584.1372189862
396,1413920.3422910417
397,1445420.4750679806
398,1454751.2487091678
399,1461067.663451192
400,1460760.6548198734
401,1453297.4989999013
402,1464990.7656462407
403,1460274.786561604
404,1419501.9420695936
405,1420325.6094565913
406,1416580.2233095323
407,1414887.725610208
408,1426131.3395527778
409,1418960.6709889225
410,1397698.9317298022
411,1388823.9916345782
412,1382159.3869133047
413,1357655.0080734536
414,1363571.9417559474
415,1352343.7697276769
416,1374670.9649242498
417,1359748.2310280292
418,1362190.4061329637
419,1405135.0167780058
420,1412631.1348623435
421,1429809.4168357966
422,1419074.2850012954
423,1431815.0123553309
424,1436407.1677484068
425,1447984.264973305
426,1455448.418656808
427,1458928.8776914384
428,1460610.8741267473
429,1469911.7549860305
430,1468510.8684256682
431,1495338.0280072442
432,1496029.9738191222
433,1499039.6265210437
434,1490940.2040478538
435,1516859.9749009274
436,1512231.7449987573
437,1515076.392783239
438,1516332.6803160491
439,1507927.175349576
440,1513978.3366067712
441,1500625.2924229354
442,1540984.962934308
443,1546828.1455713091
444,1543290.2274739777
445,1554294.4945396588
446,1555425.276281351
447,1559995.5648383454
448,1567166.392099163
449,1572341.2941015624
