,0
0,-188.44299999973737
1,-4323.401999999885
2,-10528.313999999897
3,-6577.853000000003
4,1629.7560000000522
5,6951.402000000002
6,-25236.992949999985
7,11756.076300000073
8,-23251.209999999963
9,4715.989999999991
10,-15945.579999999958
11,5997.819999999949
12,15861.040000000037
13,-12951.550000000047
14,17057.790000000037
15,-11815.630000000005
16,8995.51000000001
17,21505.599999999977
18,-983.631640000036
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,-2465.25
27,5441.079999999958
28,-271.41399999987334
29,2164.2260000001406
30,-2116.076000000001
31,-1102.0879999998724
32,9497.233000000007
33,-7811.175999999978
34,2704.3580000000075
35,12375.884000000078
36,-2729.792699999991
37,-6756.489999999991
38,18759.910000000033
39,-106.61000000010245
40,3975.2099999999627
41,3754.600000000093
42,5661.859999999986
43,-7352.270000000019
44,3645.1199999999953
45,1387.6800000000512
46,13909.959999999963
47,1606.5200000000186
48,-312.60999999998603
49,3238.069999999949
50,8432.109999999986
51,9611.200000000186
52,63.25
53,-3266.660000000149
54,-3669.4899999999907
55,-596.8600000001024
56,1485.3700000001118
57,5867.959999999963
58,4158.270000000019
59,-3205.149999999907
60,6537.540000000037
61,-3820.3700000001118
